bin_center_m,count_cells,area_m2,cumulative_area_m2
-157695.625000,0,19977759473664 ,19977759473664
-157286.875000,0,436245679947776 ,456223439421440
-156878.125000,0,830564319232 ,457054003740672
-156469.375000,0,0 ,457054003740672
-156060.625000,0,0 ,457054003740672
-155651.875000,0,0 ,457054003740672
-155243.125000,0,0 ,457054003740672
-154834.375000,0,0 ,457054003740672
-154425.625000,0,14142085431296 ,471196089171968
-154016.875000,0,0 ,471196089171968
-153608.125000,0,0 ,471196089171968
-153199.375000,0,0 ,471196089171968
-152790.625000,0,0 ,471196089171968
-152381.875000,0,0 ,471196089171968
-151973.125000,0,0 ,471196089171968
-151564.375000,0,0 ,471196089171968
-151155.625000,0,0 ,471196089171968
-150746.875000,0,0 ,471196089171968
-150338.125000,0,0 ,471196089171968
-149929.375000,0,0 ,471196089171968
-149520.625000,0,0 ,471196089171968
-149111.875000,0,0 ,471196089171968
-148703.125000,0,0 ,471196089171968
-148294.375000,0,0 ,471196089171968
-147885.625000,0,0 ,471196089171968
-147476.875000,0,0 ,471196089171968
-147068.125000,0,0 ,471196089171968
-146659.375000,0,0 ,471196089171968
-146250.625000,0,0 ,471196089171968
-145841.875000,0,0 ,471196089171968
-145433.125000,0,0 ,471196089171968
-145024.375000,0,0 ,471196089171968
-144615.625000,0,0 ,471196089171968
-144206.875000,0,0 ,471196089171968
-143798.125000,0,0 ,471196089171968
-143389.375000,0,0 ,471196089171968
-142980.625000,0,0 ,471196089171968
-142571.875000,0,0 ,471196089171968
-142163.125000,0,0 ,471196089171968
-141754.375000,0,0 ,471196089171968
-141345.625000,0,0 ,471196089171968
-140936.875000,0,0 ,471196089171968
-140528.125000,0,0 ,471196089171968
-140119.375000,0,0 ,471196089171968
-139710.625000,0,0 ,471196089171968
-139301.875000,0,0 ,471196089171968
-138893.125000,0,0 ,471196089171968
-138484.375000,0,0 ,471196089171968
-138075.625000,0,0 ,471196089171968
-137666.875000,0,0 ,471196089171968
-137258.125000,0,0 ,471196089171968
-136849.375000,0,0 ,471196089171968
-136440.625000,0,0 ,471196089171968
-136031.875000,0,0 ,471196089171968
-135623.125000,0,0 ,471196089171968
-135214.375000,0,0 ,471196089171968
-134805.625000,0,0 ,471196089171968
-134396.875000,0,0 ,471196089171968
-133988.125000,0,0 ,471196089171968
-133579.375000,0,0 ,471196089171968
-133170.625000,0,0 ,471196089171968
-132761.875000,0,0 ,471196089171968
-132353.125000,0,0 ,471196089171968
-131944.375000,0,0 ,471196089171968
-131535.625000,0,0 ,471196089171968
-131126.875000,0,0 ,471196089171968
-130718.125000,0,0 ,471196089171968
-130309.375000,0,0 ,471196089171968
-129900.625000,0,0 ,471196089171968
-129491.875000,0,0 ,471196089171968
-129083.125000,0,0 ,471196089171968
-128674.375000,0,0 ,471196089171968
-128265.625000,0,0 ,471196089171968
-127856.875000,0,0 ,471196089171968
-127448.125000,0,0 ,471196089171968
-127039.375000,0,0 ,471196089171968
-126630.625000,0,0 ,471196089171968
-126221.875000,0,0 ,471196089171968
-125813.125000,0,0 ,471196089171968
-125404.375000,0,0 ,471196089171968
-124995.625000,0,0 ,471196089171968
-124586.875000,0,0 ,471196089171968
-124178.125000,0,0 ,471196089171968
-123769.375000,0,0 ,471196089171968
-123360.625000,0,0 ,471196089171968
-122951.875000,0,0 ,471196089171968
-122543.125000,0,0 ,471196089171968
-122134.375000,0,0 ,471196089171968
-121725.625000,0,0 ,471196089171968
-121316.875000,0,0 ,471196089171968
-120908.125000,0,0 ,471196089171968
-120499.375000,0,0 ,471196089171968
-120090.625000,0,0 ,471196089171968
-119681.875000,0,0 ,471196089171968
-119273.125000,0,0 ,471196089171968
-118864.375000,0,0 ,471196089171968
-118455.625000,0,0 ,471196089171968
-118046.875000,0,0 ,471196089171968
-117638.125000,0,0 ,471196089171968
-117229.375000,0,0 ,471196089171968
-116820.625000,0,0 ,471196089171968
-116411.875000,0,0 ,471196089171968
-116003.125000,0,0 ,471196089171968
-115594.375000,0,0 ,471196089171968
-115185.625000,0,0 ,471196089171968
-114776.875000,0,0 ,471196089171968
-114368.125000,0,0 ,471196089171968
-113959.375000,0,0 ,471196089171968
-113550.625000,0,0 ,471196089171968
-113141.875000,0,0 ,471196089171968
-112733.125000,0,0 ,471196089171968
-112324.375000,0,0 ,471196089171968
-111915.625000,0,0 ,471196089171968
-111506.875000,0,0 ,471196089171968
-111098.125000,0,0 ,471196089171968
-110689.375000,0,0 ,471196089171968
-110280.625000,0,0 ,471196089171968
-109871.875000,0,0 ,471196089171968
-109463.125000,0,0 ,471196089171968
-109054.375000,0,0 ,471196089171968
-108645.625000,0,0 ,471196089171968
-108236.875000,0,0 ,471196089171968
-107828.125000,0,0 ,471196089171968
-107419.375000,0,0 ,471196089171968
-107010.625000,0,0 ,471196089171968
-106601.875000,0,0 ,471196089171968
-106193.125000,0,0 ,471196089171968
-105784.375000,0,0 ,471196089171968
-105375.625000,0,0 ,471196089171968
-104966.875000,0,0 ,471196089171968
-104558.125000,0,0 ,471196089171968
-104149.375000,0,0 ,471196089171968
-103740.625000,0,0 ,471196089171968
-103331.875000,0,0 ,471196089171968
-102923.125000,0,0 ,471196089171968
-102514.375000,0,0 ,471196089171968
-102105.625000,0,0 ,471196089171968
-101696.875000,0,0 ,471196089171968
-101288.125000,0,0 ,471196089171968
-100879.375000,0,0 ,471196089171968
-100470.625000,0,0 ,471196089171968
-100061.875000,0,0 ,471196089171968
-99653.125000,0,0 ,471196089171968
-99244.375000,0,0 ,471196089171968
-98835.625000,0,0 ,471196089171968
-98426.875000,0,0 ,471196089171968
-98018.125000,0,0 ,471196089171968
-97609.375000,0,0 ,471196089171968
-97200.625000,0,0 ,471196089171968
-96791.875000,0,0 ,471196089171968
-96383.125000,0,0 ,471196089171968
-95974.375000,0,0 ,471196089171968
-95565.625000,0,0 ,471196089171968
-95156.875000,0,0 ,471196089171968
-94748.125000,0,0 ,471196089171968
-94339.375000,0,0 ,471196089171968
-93930.625000,0,0 ,471196089171968
-93521.875000,0,0 ,471196089171968
-93113.125000,0,0 ,471196089171968
-92704.375000,0,0 ,471196089171968
-92295.625000,0,0 ,471196089171968
-91886.875000,0,0 ,471196089171968
-91478.125000,0,0 ,471196089171968
-91069.375000,0,0 ,471196089171968
-90660.625000,0,0 ,471196089171968
-90251.875000,0,0 ,471196089171968
-89843.125000,0,0 ,471196089171968
-89434.375000,0,0 ,471196089171968
-89025.625000,0,0 ,471196089171968
-88616.875000,0,0 ,471196089171968
-88208.125000,0,0 ,471196089171968
-87799.375000,0,0 ,471196089171968
-87390.625000,0,0 ,471196089171968
-86981.875000,0,0 ,471196089171968
-86573.125000,0,0 ,471196089171968
-86164.375000,0,0 ,471196089171968
-85755.625000,0,0 ,471196089171968
-85346.875000,0,0 ,471196089171968
-84938.125000,0,0 ,471196089171968
-84529.375000,0,0 ,471196089171968
-84120.625000,0,0 ,471196089171968
-83711.875000,0,0 ,471196089171968
-83303.125000,0,0 ,471196089171968
-82894.375000,0,0 ,471196089171968
-82485.625000,0,0 ,471196089171968
-82076.875000,0,0 ,471196089171968
-81668.125000,0,0 ,471196089171968
-81259.375000,0,0 ,471196089171968
-80850.625000,0,0 ,471196089171968
-80441.875000,0,0 ,471196089171968
-80033.125000,0,0 ,471196089171968
-79624.375000,0,0 ,471196089171968
-79215.625000,0,0 ,471196089171968
-78806.875000,0,0 ,471196089171968
-78398.125000,0,0 ,471196089171968
-77989.375000,0,0 ,471196089171968
-77580.625000,0,0 ,471196089171968
-77171.875000,0,0 ,471196089171968
-76763.125000,0,0 ,471196089171968
-76354.375000,0,0 ,471196089171968
-75945.625000,0,0 ,471196089171968
-75536.875000,0,0 ,471196089171968
-75128.125000,0,0 ,471196089171968
-74719.375000,0,0 ,471196089171968
-74310.625000,0,0 ,471196089171968
-73901.875000,0,0 ,471196089171968
-73493.125000,0,0 ,471196089171968
-73084.375000,0,0 ,471196089171968
-72675.625000,0,0 ,471196089171968
-72266.875000,0,0 ,471196089171968
-71858.125000,0,0 ,471196089171968
-71449.375000,0,0 ,471196089171968
-71040.625000,0,0 ,471196089171968
-70631.875000,0,0 ,471196089171968
-70223.125000,0,0 ,471196089171968
-69814.375000,0,0 ,471196089171968
-69405.625000,0,0 ,471196089171968
-68996.875000,0,0 ,471196089171968
-68588.125000,0,0 ,471196089171968
-68179.375000,0,0 ,471196089171968
-67770.625000,0,0 ,471196089171968
-67361.875000,0,0 ,471196089171968
-66953.125000,0,0 ,471196089171968
-66544.375000,0,0 ,471196089171968
-66135.625000,0,0 ,471196089171968
-65726.875000,0,0 ,471196089171968
-65318.125000,0,0 ,471196089171968
-64909.375000,0,0 ,471196089171968
-64500.625000,0,0 ,471196089171968
-64091.875000,0,0 ,471196089171968
-63683.125000,0,0 ,471196089171968
-63274.375000,0,0 ,471196089171968
-62865.625000,0,0 ,471196089171968
-62456.875000,0,0 ,471196089171968
-62048.125000,0,0 ,471196089171968
-61639.375000,0,0 ,471196089171968
-61230.625000,0,0 ,471196089171968
-60821.875000,0,0 ,471196089171968
-60413.125000,0,0 ,471196089171968
-60004.375000,0,0 ,471196089171968
-59595.625000,0,0 ,471196089171968
-59186.875000,0,0 ,471196089171968
-58778.125000,0,0 ,471196089171968
-58369.375000,0,0 ,471196089171968
-57960.625000,0,0 ,471196089171968
-57551.875000,0,0 ,471196089171968
-57143.125000,0,0 ,471196089171968
-56734.375000,0,0 ,471196089171968
-56325.625000,0,0 ,471196089171968
-55916.875000,0,0 ,471196089171968
-55508.125000,0,0 ,471196089171968
-55099.375000,0,0 ,471196089171968
-54690.625000,0,0 ,471196089171968
-54281.875000,0,0 ,471196089171968
-53873.125000,0,0 ,471196089171968
-53464.375000,0,0 ,471196089171968
-53055.625000,0,0 ,471196089171968
-52646.875000,0,0 ,471196089171968
-52238.125000,0,0 ,471196089171968
-51829.375000,0,0 ,471196089171968
-51420.625000,0,0 ,471196089171968
-51011.875000,0,0 ,471196089171968
-50603.125000,0,0 ,471196089171968
-50194.375000,0,0 ,471196089171968
-49785.625000,0,0 ,471196089171968
-49376.875000,0,0 ,471196089171968
-48968.125000,0,0 ,471196089171968
-48559.375000,0,0 ,471196089171968
-48150.625000,0,0 ,471196089171968
-47741.875000,0,0 ,471196089171968
-47333.125000,0,0 ,471196089171968
-46924.375000,0,0 ,471196089171968
-46515.625000,0,0 ,471196089171968
-46106.875000,0,0 ,471196089171968
-45698.125000,0,0 ,471196089171968
-45289.375000,0,0 ,471196089171968
-44880.625000,0,0 ,471196089171968
-44471.875000,0,0 ,471196089171968
-44063.125000,0,0 ,471196089171968
-43654.375000,0,0 ,471196089171968
-43245.625000,0,0 ,471196089171968
-42836.875000,0,0 ,471196089171968
-42428.125000,0,0 ,471196089171968
-42019.375000,0,0 ,471196089171968
-41610.625000,0,0 ,471196089171968
-41201.875000,0,0 ,471196089171968
-40793.125000,0,0 ,471196089171968
-40384.375000,0,0 ,471196089171968
-39975.625000,0,0 ,471196089171968
-39566.875000,0,0 ,471196089171968
-39158.125000,0,0 ,471196089171968
-38749.375000,0,0 ,471196089171968
-38340.625000,0,0 ,471196089171968
-37931.875000,0,0 ,471196089171968
-37523.125000,0,0 ,471196089171968
-37114.375000,0,0 ,471196089171968
-36705.625000,0,0 ,471196089171968
-36296.875000,0,0 ,471196089171968
-35888.125000,0,0 ,471196089171968
-35479.375000,0,0 ,471196089171968
-35070.625000,0,0 ,471196089171968
-34661.875000,0,0 ,471196089171968
-34253.125000,0,0 ,471196089171968
-33844.375000,0,0 ,471196089171968
-33435.625000,0,0 ,471196089171968
-33026.875000,0,0 ,471196089171968
-32618.125000,0,0 ,471196089171968
-32209.375000,0,0 ,471196089171968
-31800.625000,0,0 ,471196089171968
-31391.875000,0,0 ,471196089171968
-30983.125000,0,0 ,471196089171968
-30574.375000,0,0 ,471196089171968
-30165.625000,0,0 ,471196089171968
-29756.875000,0,0 ,471196089171968
-29348.125000,0,0 ,471196089171968
-28939.375000,0,0 ,471196089171968
-28530.625000,0,0 ,471196089171968
-28121.875000,0,0 ,471196089171968
-27713.125000,0,0 ,471196089171968
-27304.375000,0,0 ,471196089171968
-26895.625000,0,0 ,471196089171968
-26486.875000,0,0 ,471196089171968
-26078.125000,0,0 ,471196089171968
-25669.375000,0,0 ,471196089171968
-25260.625000,0,0 ,471196089171968
-24851.875000,0,0 ,471196089171968
-24443.125000,0,0 ,471196089171968
-24034.375000,0,0 ,471196089171968
-23625.625000,0,0 ,471196089171968
-23216.875000,0,0 ,471196089171968
-22808.125000,0,0 ,471196089171968
-22399.375000,0,0 ,471196089171968
-21990.625000,0,0 ,471196089171968
-21581.875000,0,0 ,471196089171968
-21173.125000,0,0 ,471196089171968
-20764.375000,0,0 ,471196089171968
-20355.625000,0,0 ,471196089171968
-19946.875000,0,0 ,471196089171968
-19538.125000,0,0 ,471196089171968
-19129.375000,0,0 ,471196089171968
-18720.625000,0,0 ,471196089171968
-18311.875000,0,0 ,471196089171968
-17903.125000,0,0 ,471196089171968
-17494.375000,0,0 ,471196089171968
-17085.625000,0,0 ,471196089171968
-16676.875000,0,0 ,471196089171968
-16268.125000,0,0 ,471196089171968
-15859.375000,0,0 ,471196089171968
-15450.625000,0,0 ,471196089171968
-15041.875000,0,0 ,471196089171968
-14633.125000,0,0 ,471196089171968
-14224.375000,0,0 ,471196089171968
-13815.625000,0,0 ,471196089171968
-13406.875000,0,0 ,471196089171968
-12998.125000,0,0 ,471196089171968
-12589.375000,0,0 ,471196089171968
-12180.625000,0,0 ,471196089171968
-11771.875000,0,0 ,471196089171968
-11363.125000,0,0 ,471196089171968
-10954.375000,0,0 ,471196089171968
-10545.625000,0,0 ,471196089171968
-10136.875000,0,0 ,471196089171968
-9728.125000,0,0 ,471196089171968
-9319.375000,0,0 ,471196089171968
-8910.625000,0,0 ,471196089171968
-8501.875000,0,0 ,471196089171968
-8093.125000,0,0 ,471196089171968
-7684.375000,0,0 ,471196089171968
-7275.625000,0,0 ,471196089171968
-6866.875000,0,0 ,471196089171968
-6458.125000,0,0 ,471196089171968
-6049.375000,0,0 ,471196089171968
-5640.625000,0,0 ,471196089171968
-5231.875000,0,0 ,471196089171968
-4823.125000,0,0 ,471196089171968
-4414.375000,0,0 ,471196089171968
-4005.625000,0,0 ,471196089171968
-3596.875000,0,0 ,471196089171968
-3188.125000,0,0 ,471196089171968
-2779.375000,0,0 ,471196089171968
-2370.625000,0,0 ,471196089171968
-1961.875000,0,0 ,471196089171968
-1553.125000,0,0 ,471196089171968
-1144.375000,0,0 ,471196089171968
-735.625000,0,0 ,471196089171968
-326.875000,0,0 ,471196089171968
81.875000,0,0 ,471196089171968
490.625000,0,0 ,471196089171968
899.375000,0,0 ,471196089171968
1308.125000,0,0 ,471196089171968
1716.875000,0,93516357632 ,471289605529600
2125.625000,0,129058786377728 ,600348391907328
2534.375000,0,5681800664481792 ,6282149056389120
2943.125000,0,1239671914496 ,6283388728303616
3351.875000,0,0 ,6283388728303616
3760.625000,0,0 ,6283388728303616
4169.375000,0,0 ,6283388728303616
4578.125000,0,0 ,6283388728303616
4986.875000,0,0 ,6283388728303616
5395.625000,0,126270470447104 ,6409659198750720
